"TRT";"APPEZZAMENTO";"REPLICA";"ORDINE";"ORDINE.ANALISI";"cmc.SASSI";"scatola";"gr.TARA";"gr.105";"data.ammollo";"data.vagliatura";"data.pesatura";"Note";"presenza.pagliuzze";"gr.TERRA.FINE";"cmc.TERRA.FINE.REALE";"cmc.TERRA.FINE.APPARENTE";"cmc.porosita";"poros.perc";"densita.apparente"
"BV";1;"AI";30;99,16;35;"4";260;1214;"03/02/16";"05/02/16";"16-02-2016";"Presenza radici";"";954;360;819,1;459,1;0,560493224270541;1,16469295568307
"BV";1;"AH";29;100,49;29;"721";731,02;1744;"11/02/16";"15/02/16";"22-02-2016";"Presenza radici";"tante";1012,98;382,256603773585;825,1;442,843396226415;0,536714817872276;1,22770573263847
"BV";1;"AG";28;100,96;27;"727";736,13;1880;"11/02/16";"16/02/16";"22-02-2016";"";"";1143,87;431,649056603774;827,1;395,450943396226;0,478117450606005;1,38298875589409
"BV";1;"AF";27;100,13;15;"19";362,16;1629;"05/02/16";"05/02/16";"16-02-2016";"campione caduto (recuperato)";"poche";1266,84;478,052830188679;839,1;361,047169811321;0,430279072591253;1,50976045763318
"BV";1;"AE";26;98,92;9;"3";178;1563;"03/02/16";"05/02/16";"16-02-2016";"";"poche";1385;522,641509433962;845,1;322,458490566038;0,381562525814741;1,63885930659094
"BV";1;"AD";25;101,86;10;"7";362;1686;"05/02/16";"03/02/16";"22-02-2016";"";"";1324;499,622641509434;844,1;344,477358490566;0,408100175915846;1,56853453382301
"BV";1;"AC";24;101,03;49,2;"738";746,92;1849;"15/02/16";"16/02/16";"22-02-2016";"presenza di sasso importante (misurato a parte)";"assenti";1102,08;415,879245283019;804,9;389,020754716981;0,483315635131049;1,36921356690272
"BV";1;"AB";23;98,95;8;"12";360;1549;"11/02/16";"12/02/16";"22-02-2016";"";"poche";1189;448,679245283019;846,1;397,420754716981;0,469708964326889;1,40527124453374
"BV";1;"AA";22;98,27;6;"1";259;1601;"17/11/15";"17/12/15";"31-12-2015";"";"assenti";1342;506,415094339623;848,1;341,684905660377;0,402882803514182;1,58236057068742
"BV";1;"Z";21;99,66;6;"24";361,16;1525;"05/02/16";"05/02/16";"16-02-2016";"viottola";"assenti";1163,84;439,184905660377;848,1;408,915094339623;0,482154338332299;1,37229100341941
"BV";1;"V";20;100,51;9;"74B";749,12;1921;"11/02/16";"15/02/16";"22-02-2016";"viottola";"medie";1171,88;442,218867924528;845,1;402,881132075472;0,476725987546411;1,38667613300201
"BV";1;"U";19;98,48;5,5;"3";178;1437;"20/11/15";"18/12/15";"31-12-2015";"";"medie";1259;475,094339622642;848,6;373,505660377358;0,440143365987931;1,48362008013198
"BV";1;"T";18;98,55;14;"5";359;1519;"20/11/15";"18/12/15";"31-12-2015";"";"poche";1160;437,735849056604;840,1;402,364150943396;0,478947923989282;1,3807880014284
"BV";1;"S";17;98,8;12;"6";181;1407;"27/11/15";"21/12/15";"31-12-2015";"";"tante";1226;462,641509433962;842,1;379,458490566038;0,450609773858256;1,45588409927562
"BV";1;"R";16;101,64;9;"9";370;1594;"15/02/16";"16/02/16";"22-02-2016";"Presenza radici";"poche";1224;461,88679245283;845,1;383,21320754717;0,453453091405952;1,44834930777423
"BV";1;"Q";15;98,89;4;"6";181;1323;"03/02/16";"05/02/16";"16-02-2016";"";"poche";1142;430,943396226415;850,1;419,156603773585;0,493067408273832;1,34337136807434
"BV";1;"P";14;100,75;13;"28";360,98;1594;"11/02/16";"15/02/16";"22-02-2016";"";"poche";1233,02;465,290566037736;841,1;375,809433962264;0,446807078780483;1,46596124123172
"BV";1;"O";13;99,27;14;"10";259;1396;"03/02/16";"05/02/16";"16-02-2016";"";"tante";1137;429,056603773585;840,1;411,043396226415;0,489279128944667;1,35341030829663
"BV";1;"N";12;100,39;9,5;"2";303;1465;"05/02/16";"12/02/16";"22-02-2016";"";"tante";1162;438,490566037736;844,6;406,109433962264;0,480830492496169;1,37579919488515
"BV";1;"M";11;99,69;25;"11";214;1381;"05/02/16";"05/02/16";"16-02-2016";"";"poche";1167;440,377358490566;829,1;388,722641509434;0,468848922336792;1,4075503558075
"BV";1;"L";10;98,61;17;"4";260;1573;"27/11/15";"18/12/15";"31-12-2015";"viottola 2";"poche";1313;495,471698113208;837,1;341,628301886792;0,408109308191127;1,56851033329351
"BV";1;"I";9;101,21;55;"26";370,65;1531;"15/02/16";"16/02/16";"22-02-2016";"vittola";"tante";1160,35;437,867924528302;799,1;361,232075471698;0,452048649069826;1,45207107996496
"BV";1;"H";8;98,46;57;"2";303;1364;"20/11/15";"17/12/15";"31-12-2015";"Presenza legnetti sasso ";"poche";1061;400,377358490566;797,1;396,722641509434;0,497707491543638;1,33107514740936
"BV";1;"G";7;100,93;24;"74";749,56;1797;"11/02/16";"15/02/16";"22-02-2016";"";"poche";1047,44;395,260377358491;830,1;434,839622641509;0,523840046550427;1,26182387664137
"BV";1;"F";6;99,16;78;"17";196;1104;"03/02/16";"05/02/16";"16-02-2016";"";"poche";908;342,641509433962;776,1;433,458490566038;0,558508556327841;1,16995232573122
"BV";1;"E";5;99,58;33;"20";267;1392;"05/02/16";"05/02/16";"16-02-2016";"";"";1125;424,528301886792;821,1;396,571698113208;0,482976127284384;1,37011326269638
"BV";1;"D";4;100,36;23;"1";259;1474;"05/02/16";"12/02/16";"22-02-2016";"";"poche";1215;458,490566037736;831,1;372,609433962264;0,448332852800222;1,46191794007941
"BV";1;"C";3;99,76;25;"21";259,9;1320;"05/02/16";"05/02/16";"16-02-2016";"";"poche";1060,1;400,037735849057;829,1;429,062264150943;0,517503635449214;1,27861536605958
"BV";1;"B";2;100,26;43;"18";362;1556;"05/02/16";"12/02/16";"22-02-2016";"";"poche";1194;450,566037735849;811,1;360,533962264151;0,444500015120393;1,47207495993096
"BV";1;"A";1;100,69;37;"13";449;1538;"11/02/16";"15/02/16";"22-02-2016";"";"medie";1089;410,943396226415;817,1;406,156603773585;0,497070864978075;1,3327622078081
